New State of Residence,Year,Number of People Migrated from New York,Different State of Residence 1 Year Ago,Median Age Living in State,Percent of Population 65+ Years Old,Percent of 25+ Years Old Population with Bachelor's Degree or Higher,Percent without Healthcare Coverage,Percent of Households with One or More People Under 18 Years,Civilian Employment Rate
Alabama,2021,2085,115641,39.8,17.6,26.7,9.9,28.8,54.1
Alabama,2011,1108,117726,38.1,14,22,14.3,32.3,54.1
Alaska,2021,70,31378,35.6,13.4,34.7,11.4,31.7,57.4
Alaska,2011,940,35084,33.9,8.1,27.2,20.1,36.8,62.6
Arizona,2021,6674,264948,38.6,18.3,31.4,10.7,29.4,56.6
Arizona,2011,3880,222877,36.2,14.2,26.4,17.2,32.4,55.9
Arkansas,2021,1352,76108,38.5,17.4,24.3,9.2,31.3,55.0
Arkansas,2011,674,69845,37.5,14.6,19.6,17.1,32.2,55.2
California,2021,32723,433402,37.6,15.2,35.3,7.0,32.6,57.6
California,2011,25629,468428,35.4,11.7,30.2,18.1,36.6,57.7
Colorado,2021,12611,250031,37.6,15.1,43.9,8.0,28.4,63.6
Colorado,2011,3998,202124,36.2,11.2,36.3,15.1,32.3,63.7
Connecticut,2021,40790,106618,41.1,18,40.6,5.2,28.4,60.9
Connecticut,2011,20015,71502,40.3,14.4,35.7,8.8,32.1,62.1
Delaware,2021,5958,42551,41.6,20,33.6,5.7,26.6,56.2
Delaware,2011,3141,33912,39.1,14.8,28,9.4,32.4,59.2
District of Columbia ,2021,3658,57746,34.8,12.8,61.4,3.7,18.8,64.2
District of Columbia ,2011,2313,48066,33.4,11.3,50.5,6.9,20.3,59.9
Florida,2021,91758,674740,42.8,21.1,31.5,12.1,26,55.4
Florida,2011,59288,498597,41.1,17.6,26,20.9,28.4,54.4
Georgia,2021,14038,302512,37.5,14.7,33,12.6,31.8,58.7
Georgia,2011,14454,271077,35.5,11,27.5,19.6,35.8,57.9
Hawaii,2021,2696,71626,40.2,19.6,34.3,3.9,30.5,54.6
Hawaii,2011,4246,57542,38.5,14.8,29.5,7.1,34,58.9
Idaho,2021,90,96388,37.3,16.5,29.1,8.8,32.7,60.7
Idaho,2011,419,60336,35.0,12.9,24.6,16.5,34.3,59.7
Illinois,2021,8092,195177,39.0,16.6,36.2,7.0,28.9,59.6
Illinois,2011,6412,216204,36.8,12.8,30.7,13.1,32.8,60.3
Indiana,2021,4290,156417,38.2,16.4,27.8,7.5,29.8,60.3
Indiana,2011,2518,127874,37.1,13.1,22.7,14.5,32.8,59.3
Iowa,2021,909,77245,38.5,17.8,29.7,4.8,28.6,63.6
Iowa,2011,2361,70405,38.1,15,24.9,8.9,30.2,65.0
Kansas,2021,3064,102319,37.3,16.7,34.4,9.2,30.3,62.1
Kansas,2011,780,83640,36.3,13.3,29.7,12.6,33,63.6
Kentucky,2021,3115,107693,39.1,17,25.7,5.7,30,55.1
Kentucky,2011,2174,110031,38.2,13.6,20.6,14.4,32.2,54.7
Louisiana,2021,1357,81944,38.0,16.6,25.5,7.6,30.2,53.4
Louisiana,2011,1360,99138,35.9,12.5,21.1,17.5,33.4,56.4
Maine,2021,3326,43492,44.7,21.7,33.6,5.7,24.1,58.2
Maine,2011,2589,33818,43.2,16.4,27.1,10.7,27,60.2
Maryland,2021,11578,160016,39.3,16.3,41.6,6.1,30.5,61.9
Maryland,2011,9222,153979,38.0,12.6,36.1,10.4,33.2,64.0
Massachusetts,2021,24489,158311,39.9,17.4,45.2,2.5,28,62.3
Massachusetts,2011,19431,139830,39.3,14,38.7,4.3,30.9,62.3
Michigan,2021,6385,143042,40.2,18.1,30.6,5.0,27.3,56.6
Michigan,2011,6087,139158,39.2,14.1,25.3,11.8,30.6,54.9
Minnesota,2021,2047,93286,38.8,16.8,37.6,4.5,28.7,65.0
Minnesota,2011,2416,101029,37.6,13.1,31.8,8.8,31.4,65.9
Mississippi,2021,1804,59759,38.6,16.8,23.2,11.9,30.4,52.5
Mississippi,2011,364,68511,36.1,13,19.7,17.7,34.5,52.9
Missouri,2021,3608,165921,39.2,17.6,30.7,9.4,28.2,59.4
Missouri,2011,2904,149439,38.0,14.2,25.4,13.7,31.5,59.4
Montana,2021,325,44531,40.1,19.7,33.7,8.2,25.1,58.9
Montana,2011,422,33553,39.7,15.1,28.2,18.3,26.7,60.6
Nebraska,2021,930,43287,37.2,16.4,32.9,7.1,29.6,66.4
Nebraska,2011,544,52070,36.3,13.6,27.8,11.4,32.1,66.8
Nevada,2021,1582,132648,38.7,16.5,26.1,11.6,29.6,56.4
Nevada,2011,1516,110345,36.7,12.5,22.2,21.9,33.5,59.7
New Hampshire,2021,4470,53245,43.1,19.3,38.2,5.1,26.5,64.1
New Hampshire,2011,1471,37000,41.5,14,33.1,10.5,30.3,65.4
New Jersey,2021,91421,195828,40.3,16.9,41.5,7.2,31.2,60.2
New Jersey,2011,40815,140194,39.2,13.7,35,13.1,34.4,60.9
New Mexico,2021,2249,68019,39.1,18.5,28.5,10.0,28.8,51.7
New Mexico,2011,1445,62130,36.6,13.6,25.4,19.8,32,56.1
New York,2021,,287249,39.8,17.5,38.1,5.2,27,56.9
New York,2011,,282209,38.1,13.7,32.5,11.4,31.7,58.4
North Carolina,2021,32759,336681,39.4,17,33,10.4,28.6,57.4
North Carolina,2011,18321,265291,37.7,13.2,26.5,16.3,32.3,57.2
North Dakota,2021,149,37844,35.8,16,31.1,7.9,26.4,64.6
North Dakota,2011,264,32510,36.6,14.4,26.5,9.8,28.9,66.8
Ohio,2021,11752,184477,39.6,17.8,29.7,6.5,28,59.1
Ohio,2011,8784,191778,39.1,14.3,24.5,11.9,30.5,58.5
Oklahoma,2021,1332,108288,37.2,16.2,26.8,13.8,30.9,56.7
Oklahoma,2011,1858,108878,36.3,13.6,23,18.7,33.1,58.2
Oregon,2021,4407,133935,40.1,18.6,35,6.1,27.1,57.6
Oregon,2011,2056,127906,38.7,14.3,29,15.7,29.4,57.7
Pennsylvania,2021,49702,261831,40.9,19,33.1,5.5,26.9,58.4
Pennsylvania,2011,29436,234291,40.3,15.6,26.7,10.1,29.4,58.2
Rhode Island,2021,7321,43266,40.6,18.3,35.3,4.3,25.8,59.8
Rhode Island,2011,2776,26769,39.5,14.6,30.6,10.8,29.7,60.0
South Carolina,2021,11615,196200,40.2,18.6,29.8,10.0,28.3,55.5
South Carolina,2011,11317,157644,38.0,14,24.2,16.7,32.2,55.2
South Dakota,2021,230,27528,37.6,17.6,30,9.5,29,64.2
South Dakota,2011,6,27506,37.1,14.6,25.8,11.9,30.7,65.6
Tennessee,2021,5676,220591,39.2,17,29,10.0,28.7,57.7
Tennessee,2011,4921,170969,38.3,13.7,23,14.6,31.1,56.6
Texas,2021,24951,591395,35.5,13.2,31.5,18.0,34.8,60.2
Texas,2011,26155,514726,33.7,10.5,26.1,23.0,38.2,60.2
Utah,2021,2918,101051,31.8,11.6,35.4,9.0,38.3,66.0
Utah,2011,1937,85217,29.6,9.2,29.6,15.3,41.9,64.2
Vermont,2021,5816,31809,42.9,20.6,40.9,3.7,24.5,61.4
Vermont,2011,3723,20463,42.0,14.9,33.8,6.6,27.5,64.2
Virginia,2021,13416,272693,38.8,16.3,40.3,6.8,30.1,60.3
Virginia,2011,12455,257130,37.6,12.5,34.4,12.5,33.3,61.1
Washington,2021,5682,225306,38.2,16.2,37.3,6.4,29,59.1
Washington,2011,4512,208507,37.3,12.6,31.4,14.2,31.7,59.5
West Virginia,2021,596,43801,42.8,20.7,21.8,6.1,26,49.2
West Virginia,2011,2017,50068,41.4,16.2,17.6,14.9,27.4,50.7
Wisconsin,2021,2219,122742,40.1,17.9,31.5,5.4,27.1,62.7
Wisconsin,2011,2213,109439,38.7,13.9,26,9.0,30,63.7
Wyoming,2021,956,27281,39.0,17.9,28.5,12.2,29,62.3
Wyoming,2011,113,30651,36.8,12.7,24.2,15.4,29.2,66.0